rin,eng
Buko ta payaba talaga niya adto.,Not because he really loved her.
Ta ako man talaga a payaba ngaya niya.,Because it was me he really loved.
Pero magkaiba na sira kadto together forever ag gusto niya sa mga igin pa'la nilalauman talaga adto ka mga pamilya nira.,But they had been together forever and he wanted kids and it was expected by their families.
Su kadaklan udang saysay ta sa payo ko nagtatumbling akong pasiko-siko.,The rest did not make sense because in my head I was tumbling in a zigzag.
Uno kuno?!,What is it?!
Agko iya nobya?,He had a girlfriend?
Ag sa payo ko agko ka ingab-ingab na an: Dyos ko!,And in my head there was that gasp: My God!
A kinatapusan ko arog man ki Mother Denial Queen!,I ended up with someone just like my Mother Denial Queen!
Ibang Oedipal Complex adi!,This is another Oedipal Complex!
Pa'la mas dakol na tumbling na pasiko-siko pa sa payo ko.,More tumbling in a zigzag in my head.
"Pa'la mader, usad adtong Nora Aunor ag Vilma Santos all-in-one moment.","Then mother, it was a Nora Aunor and Vilma Santos all-in-one moment."
"Pigtutubtob ko iya sa rurug'gan niya labing nagsasabing ""You lied to me!"".","I was pummeling his chest while saying ""You lied to me!""."
"Pa'la ""You said you love me!"".","And ""You said you love me!""."
"Pa'la ""Stay with me!"".","And ""Stay with me!""."
"Pa'la ""Fight for us!"".","And ""Fight for us!""."
"Pa'la ""I gave you my heart, body and soul!"" na agko kaibang hayop, hayop, hayop.","And ""I gave you my heart, body, and soul!"" with matching animal, animal, animal."
Isi mo kin kuno pinakamakulog?,You know what hurt the most?
Bagana adto bukang maapros na binububuan sa suka.,It was like spraying vinegar on an open wound.
"Lang kulog talaga, ha?","That really hurt, ha?"
Pigmamawot ko kada gab-i sa kada star light.,I had been wishing every night on every star light.
"Star bright galin sa bottom of my hypothalamus na babayi talaga 'ko, isi mo.","Star bright from the bottom of my hypothalamus that I was really a lady, too, you know."
"Ata mas dakol pa na tagubtob ag dakol pang hayop, hayop, hayop.","More pummeling and more animal, animal, animal."
"Pakatapos ka ngamin, pinalayas niya 'ko sadto apartment na pig-aarkila niya.","After all, he kicked me out of the apartment that he was paying for."
"Pa'la pakatapos pigpurbaran kong magbalik utro sadto gibo ko dati, pero diri ko na kaya.","Afterwards I tried to go back to the way I was before, but I couldn't."
Kaya nagdesisyon ako na pumauli na sadto baloy sadto Los Angeles.,I decided to go home to Los Angeles.
"Ya syempre, diri ako sinabat sadto baloy na arog sa usad na alibughang igin na lalaki kwasa risa man na mas bagana 'ko alibughang igin na babayi.","Of course, I wasn't welcomed home like the prodigal son because it was obvious that I was more like the prodigal daughter."
Pero maray sanang diri ako pinag-alow.,But at least I wasn't turned away.
Si Iyay su unang nakabisto kanako.,Iyay was the first to recognize me.
Pala sinabat niya 'ko ku 'lang singgayang tikmong tawa.,And she welcomed me with her beaming toothless smile.
Mas gurang na iyang silngan nguwan pero diri ko yan sinabi kanya.,She definitely looked older but I didn't tell her that.
"Ta dawa 'la ko kagustong magin babayi, abo ko na magka-dysmenorrhea tabi.","As much as I wanted to be a lady, I didn't want to end up with dysmenorrhea, too."
Pigpadagos niya a pagtutturo kanako manungod kadi ag kiton na kaaswangan.,She resumed teaching me about this and that kaaswangan.
Sinilngan sana ako ni Daddy.,Daddy had simply looked at me.
"Funda, lipstick, pa'la maabang itom na makintab na bok galore.","Funda, lipstick, and long black shiny hair galore."
Pala nagsayuma na silngan ako o kausipon ako pakatapos.,And then refused to look at me or talk to me after.
"In fairness, diri niya 'ko linumos, o linaom, o ginuraan.","In fairness, he didn't drown me, or cage me, or kill me."
"Ku nagpundo na 'kong magbutang sa foundation pa'la nag-moisturizer na sana 'ko, sinisimbag na niya 'ko pag nag-uunga ako kanya gamit su lagong kong boses manungod sa kopra, mais, paroy, ag mga manok.","When I stopped wearing the foundation and settled for moisturizer, he then answered me whenever I would ask him in my deep voice something about the copra, palay, corn, and chickens."
Magbutang sa lip gloss kisa sa lipstick.,Wore lip gloss instead of lipstick.
"Pa'la pinaputulan ko a bok ko paabot sa abaga,",And cut my hair to my shoulder.
"Pigbawasan ko sana 'di, sisters, ta matutunow a make-up tabi ka init sadi Los Angeles.","I just toned it down, sisters, because the heat would melt make-up in Los Angeles anyway."
A mga pambulang na manok pa nanggad a te-ritoryo ni Daddy.,The fighting cocks were still Daddy's sole territory.
Agko ko mas maray na relasyon sa mga manok k'wasa a ngamin na mga lalong pigparakantyawan ako.,I had better relationship with the chickens because the cocks were all heckling me.
"Ay, kin isi sana nira na a iba kanda arog ko man ngani, noh?!","Ay, if they only knew that some of them were like me, too, noh?!"
Si Mommy dearest nag-uraol pa'la piggakos ako.,Mommy dearest had wailed and embraced me.
Pa'la nag-uraol sa gatingay pa.,And wailed some more.
Pa'la nagpuon nang mangadyi sa 200 na Tara Kagurangnan Maria uru-aldow 'nganing su demonyong espiritu na nagsanib kuno kanako gumalin na.,And then began to pray 200 Hail Marys every day for the evil spirit that had possessed me to go away.
"Minsan magigisong ako na a kamot niya sa ibabow ka payo ko labing pig-iing-ing, ""You devil, you devil, go away!"".","Sometimes I would wake up to her hand just above my head while she whispered, ""You devil, you devil, go away!""."
Pa'la mas dakol na Tara Kagurangnan Maria pa.,And then more Hail Marys.
"Pa'la pirang semana 'kong magparangisli ka hayop na an labing nag-aasikaso ka mga kopra, paroy, mais, ag mga manok.","And for weeks I would cry over that animal while I took care of the copra, palay, corn, and chickens."
Sasabiyon ko ngamin sa kada grupo ka mga manok sa uru-aldow namong chika lain sana ka parte kin sari ngamin sira madali nang matitigbak.,I told each batch of chickens in our daily chika everything except the part wherein they're all going to die soon.
Sabi ko kanda na su hayop na adto mas manok pa kisa kanda.,I told them that animal was more of a chicken than they were.
No offense meant ag sabi nira uda man an kanda.,No offense meant and they said none taken.
Pig-unga ko si Iyay kin agko orasyon na pwede 'kong gibuwon na tunay na babayi.,I had also asked Iyay if there was a spell that could transform me into a real lady.
"Pa'la pakatapos sa dakol na 45-days, sinabiyan ako ni Iyay na pumundo na 'ko sa pagparaistorya san mga manok ka istorya ko ta biyong nalululdok sira pa'la nagkakailang na.","Then after many 45-days, Iyay finally told me to stop telling the chickens my story because it was depressing them and it was making them sick."
"Pigsilngan ko sira, ay true!","I looked at them, ay true!"
Nabayad ko na ngamin sira nagkaagko trangkaso.,I saw that they all had the flu.
"Bukong Bird Flu, gagagirl.","Not Bird Flu, gagagirl."
Nagluwas an pakatapos ku Y2K bug.,That came out after the Y2K bug.
Pero kadto 'ko nakakuko sa ideya na tawan ana bird ni ex-jowa ka trangkaso.,But it was then that I got the idea of giving my ex-jowa's bird the flu.
"Isi mo, su bagana 'di agko sipon na diri mauuda.","You know, like it had a cold that would never go away."
Kaya inunga ko si Iyay kin posible 'di.,So I asked Iyay if it was possible.
"Nagtawa sana ya na bagana demonyo na buot sabiyon ""amo"" pero agko kondisyon.","She gave me that evil laugh which meant ""yes"" but there was a catch."
Ta naglalagbas na 'ko sa linya sa pag-ultanan ka garden of good and evil.,Because I was crossing the line between the garden of good and evil.
"Gusto kong makakulog, bukong makatabang.","I wanted to hurt, not help."
Syempre gusto kong kulgan a ex-jowa ko!,Of course I wanted to hurt my ex-jowa!
"Pa'la sabi ni Iyay na kin tututturuan niya 'ko kin pauno gibuwon an, ako 'umbalyo sa pwesto niya bilang residenteng aswang ka Los Angeles.","Then Iyay said that if she taught me how to do that, I would take her place as the resident aswang of Los Angeles."
"Pagal na iya ag mas gurang pa sa gurang, gusto na niyang magretiro pa'la magraan tabi.","She was tired and older than old, wanted to retire and die already, you know."
A usad sanang paagi 'nganing makaretiro iya pa'la magraan amo kin maipasa niya a kapangyariyan niya bilang aswang sa kiisay man pero amo sa lady boy.,And the only way she could retire and die was if she would pass on her aswang powers to someone but yes to lady boy.
"Ay ta, a pagigin aswang equal opportunity career man palan.","Oh my, being an aswang was an equal opportunity career after all."
Nguwan gaumno ko talaga gustong kulgan a ex-jowa ko ag magin aswang sa proseso?,Now how bad did I want to hurt my ex-jowa and become an aswang in the process?
"Pigparauna-una ko 'di aldow ag gab-i, pig-iisip ko a manungod ka mga love quotes pa'la love songs kada aldow ag gab-i.","I had thought about it day and night, thinking about love quotes and love songs day and night."
Pa'la pigparaunga ko man si lyay kada aldow ag gab-i manungod ka makangangalas na kinaban ka ka-ugman ag sindak ka pagigin aswang.,And I had also asked Iyay day and night about the wonderful world of joys and horrors of being an aswang.
Ya uno na nangyaring sunod?,So what happened next?
"Diri, talaga, sikreto 'ding seremonya na diri ko pwedeng sabiyon ta agko saradong kontrata na kadakol na patara-tara.","No, really, it's a secret ceremony that I'm not allowed to tell because of a binding contract with so many clauses."
Nakaistar pa nanggad ako sa Los Angeles ag a mga tawo baoy kanako Mother Lady Boy na nguwan.,I still live in Los Angeles and people call me Mother Lady Boy now.
"Mas magayon a tunog kisa sa Mother Ricky o Kuya Boy, 'kong amo?","Sounds more fabulous than Mother Ricky or Kuya Boy, 'di ba?"
And so what chocnut kin iniisip ka mga tawo na magigin baklang manananggal ako usad na beses sa usad na bulan kuno.,And so what chocnut if people think that I would change into a baklang manananggal once a month.
O diri ako magkakaon sa manok ta ginagamit ko di para sa orasyon kuno.,Or that I don't eat chicken because I use it for orations.
O kin lalaki ika pa'la naparong ko a bag-ot mo magigin instant-ulam ta nayka kuno.,Or that if you were a man and I smelled your sweat you would be my instant-dish.
O ikamamangli 'ko sa multong bakla pag nadadak'lan ko a pagbutang sa funda.,Or that I'm mistaken for the multong bakla when I wear too much funda.
Ako na a nagpapadalagan ka kopra/paroy/mais/manok kingdom namo nguwan ag magtatabang aros sa ngamin pa'la aros diri man ako nangungulog kiisay man.,I'm running our copra/palay/corn/chicken king-dom now and would help almost everybody and almost never really hurt anybody.
Pa'la si Daddy na magigin bulangero King ka ngamin na senior citizen macho sa syudad namo.,And daddy will soon be the fighting-cocks king of all the senior citizen machos in our city.
"Diri niya pig iistorya sa mga macho senior citizen a manungod kanako, ya syempre.","He doesn't talk to the macho senior citizens about me, of course."
Si Mommy dearest sige pa pangadyi sa 200 na Tara Kagurangnan Maria uru-aldow.,Mommy dearest is still praying 200 Hail Marys every day.
Ag naglalaom na mingagom ako pa'la tatawan iya sa mga mukuapo kin umabot man a panawon.,And still hopes that I would marry and give her grandchildren someday.
"Denial queen pa nanggad, ading mudra dearest ko.","Still a denial queen, my mudra dearest."
Single ag available pa ako.,I'm still single and available.
"Pa'la a mga manok pigsasadol ako to get into the dating program, sister, with matching cluck.","And the chickens are encouraging me to get into the dating program, sister, with matching cluck."
"Pangaturganan ko pa nanggad na mag-iba sa beauty contests, pero nguwan gusto ko na magin Miss Gay Universe.","I still dream of joining beauty contests, but this time I want to be Miss Gay Universe."
Pag-ulat ka Agua de Mayo.,Waiting for Agua de Mayo.
Uda sadi dragon.,There are no dragons here.
"Amo yan sabi sadi maribok, maati, ag matawong syudad.","That's what they say in this bustling, polluted, and overcrowded city."
"A ""dragon"" ngangabilon na balon ka mga Espanyol, Amerikano, ag Briton, ag a kandang mga libro ag mga pelikula.","The ""dragon"" was a word brought by the Spaniards, Americans, and British, and their books and movies."
"Maski ngani pigdidiskutir ka iba na a kanato kunong mga pag-abayan na mga Thai, Indonesian, ag Tsino a unang nagdara.","Although some would argue that our neighbors, the Thai, Indonesians, and Chinese brought it first."
A mga dragon nilalang na nagigin matuod sa mga pigpapatpat na mga istorya kading mga dayong tawong adi na 'baad nagtubod sa usad na punto na matuod mananggad adi.,The dragon was a creature made real by stories spun by these strange men and women who may have even believed that they were real at one time.
